sample_id,variety,region,quality_score,quality_category,sugar_content_brix,acidity_ph,cluster_weight_g,berry_size_mm,harvest_date,sun_exposure_hours,soil_moisture_percent,rainfall_mm
55,Riesling,Napa Valley,3.29,High,29.96,3.99,247.03,21.69,2023-08-14,8.6,63.9,494.3
56,Pinot Noir,Mendoza,2.03,Medium,17.01,3.74,340.56,10.24,2023-09-10,9.9,49.7,271.8
57,Zinfandel,Rioja,3.14,High,25.34,3.45,231.09,22.28,2023-09-01,8.6,48.9,681.6
58,Cabernet Sauvignon,Loire Valley,1.78,Medium,18.04,3.38,73.09,10.6,2023-09-27,7.7,49.6,348.2
59,Merlot,Barossa Valley,2.87,High,19.6,3.71,72.68,23.35,2023-08-19,9.3,63.9,739.8
60,Sauvignon Blanc,Tuscany,2.89,High,22.55,3.56,335.43,24.88,2023-09-22,8.1,63.3,746.5
61,Merlot,Napa Valley,3.12,High,27.47,2.89,139.19,14.41,2023-09-04,11.6,46.1,766.0
62,Riesling,Mendoza,3.3,High,29.68,3.52,77.62,13.15,2023-08-24,11.5,43.3,512.1
63,Sauvignon Blanc,Loire Valley,3.08,High,25.37,3.93,229.71,21.48,2023-08-18,9.0,49.7,606.3
64,Cabernet Sauvignon,Mendoza,2.07,Medium,18.36,3.44,237.09,13.8,2023-09-19,8.0,52.9,667.1
65,Riesling,Barossa Valley,2.88,High,18.43,2.87,244.55,22.98,2023-08-26,10.4,39.5,278.6
66,Chardonnay,Bordeaux,1.92,Medium,24.75,3.9,130.22,11.54,2023-08-30,6.2,61.8,560.6
67,Pinot Noir,Mendoza,1.77,Medium,14.78,3.08,54.53,11.89,2023-09-15,8.8,49.5,220.6
68,Cabernet Sauvignon,Loire Valley,2.18,Medium,12.21,3.16,339.5,24.69,2023-09-30,8.0,43.4,498.5
69,Pinot Noir,Mendoza,2.9,High,17.09,3.03,125.27,20.11,2023-08-05,11.5,34.3,292.9
70,Syrah,Mendoza,2.1,Medium,15.74,3.26,252.81,22.7,2023-08-18,6.1,39.6,309.8
71,Chardonnay,Mendoza,2.14,Medium,15.93,3.86,261.99,14.86,2023-09-01,9.3,68.0,419.0
72,Chardonnay,Sonoma,2.68,High,14.67,3.53,233.0,20.15,2023-09-26,10.4,42.2,459.5
73,Cabernet Sauvignon,Sonoma,2.03,Medium,10.84,3.09,143.87,18.91,2023-09-26,8.9,36.8,573.9
74,Chardonnay,Bordeaux,1.58,Medium,10.36,4.03,131.33,19.05,2023-08-17,6.5,48.4,244.7
75,Sauvignon Blanc,Napa Valley,3.7,Premium,29.75,4.03,229.3,20.24,2023-08-26,11.8,42.3,502.2
76,Chardonnay,Mendoza,2.48,Medium,18.56,4.02,309.83,18.63,2023-09-03,9.1,31.4,309.6
77,Pinot Noir,Barossa Valley,2.41,Medium,17.69,3.13,334.02,16.44,2023-08-24,9.7,42.9,544.4
78,Pinot Noir,Napa Valley,2.31,Medium,23.59,3.43,81.77,14.14,2023-08-21,7.4,51.8,582.4
79,Riesling,Barossa Valley,2.34,Medium,14.37,4.18,96.45,21.53,2023-09-05,8.9,52.1,534.0
80,Pinot Noir,Napa Valley,2.7,High,29.0,3.88,333.42,13.39,2023-08-14,8.6,44.3,643.0
81,Riesling,Bordeaux,2.54,High,25.73,2.84,270.96,20.39,2023-09-25,6.4,47.9,401.4
82,Pinot Noir,Mendoza,1.29,Low,11.79,2.89,314.9,13.5,2023-09-05,6.6,68.6,659.1
83,Sauvignon Blanc,Mendoza,2.95,High,18.35,3.45,110.79,19.38,2023-09-21,11.0,45.1,459.7
84,Zinfandel,Tuscany,2.89,High,27.58,4.07,226.28,21.21,2023-09-26,7.4,40.3,490.5
85,Riesling,Barossa Valley,2.54,High,28.89,3.55,260.34,13.28,2023-08-30,7.2,39.7,588.9
86,Merlot,Napa Valley,2.12,Medium,19.35,3.5,254.03,10.9,2023-09-09,9.0,48.3,211.0
87,Syrah,Napa Valley,2.5,Medium,22.27,2.95,172.45,11.96,2023-09-28,10.6,60.4,592.4
88,Cabernet Sauvignon,Rioja,1.82,Medium,13.34,3.72,54.62,19.09,2023-09-26,6.4,38.2,571.2
89,Pinot Noir,Rioja,3.46,High,29.82,3.95,224.88,22.74,2023-08-03,9.5,58.4,385.9
90,Chardonnay,Sonoma,1.4,Low,14.63,3.33,125.93,10.67,2023-08-15,6.7,30.8,251.5
91,Zinfandel,Tuscany,2.8,High,28.85,3.89,185.08,21.01,2023-09-04,6.2,46.8,254.6
92,Pinot Noir,Loire Valley,2.01,Medium,22.99,4.15,337.27,15.12,2023-08-12,6.3,61.0,753.9
93,Chardonnay,Rioja,2.94,High,22.15,3.09,169.71,17.18,2023-08-04,11.0,43.5,613.6
94,Syrah,Loire Valley,2.52,High,20.25,3.53,301.94,23.93,2023-08-01,6.7,52.5,276.3
95,Syrah,Sonoma,1.58,Medium,14.61,3.2,106.56,14.98,2023-08-14,6.3,38.2,414.0
96,Syrah,Sonoma,2.01,Medium,13.53,3.91,251.74,16.98,2023-08-29,8.6,59.7,555.5
97,Chardonnay,Sonoma,2.1,Medium,14.41,3.61,343.1,10.21,2023-08-21,11.1,32.1,701.3
98,Pinot Noir,Barossa Valley,1.52,Medium,13.73,3.69,80.57,11.22,2023-08-05,7.6,64.1,226.2
99,Syrah,Barossa Valley,2.51,High,25.59,3.92,52.5,13.88,2023-09-03,8.5,37.9,342.0
100,Sauvignon Blanc,Bordeaux,1.44,Low,17.0,3.35,180.07,10.42,2023-09-04,6.2,65.0,733.8
101,Riesling,Bordeaux,2.01,Medium,11.16,4.08,77.79,19.47,2023-08-27,8.7,44.1,205.5
102,Chardonnay,Sonoma,3.16,High,29.38,3.55,274.52,16.4,2023-08-17,9.5,58.9,320.8
103,Chardonnay,Tuscany,3.06,High,27.68,3.02,324.36,18.22,2023-09-15,9.4,42.8,775.4
104,Pinot Noir,Napa Valley,2.55,High,28.56,3.77,180.21,12.62,2023-08-29,8.0,66.2,568.0
105,Chardonnay,Barossa Valley,2.7,High,29.9,3.91,127.61,14.44,2023-09-03,7.9,35.1,357.0
106,Chardonnay,Tuscany,1.91,Medium,13.48,3.24,180.32,19.96,2023-09-04,6.6,37.1,240.2
107,Syrah,Mendoza,2.52,High,17.92,4.0,267.03,24.48,2023-09-18,8.2,49.7,216.9
108,Pinot Noir,Barossa Valley,1.92,Medium,25.16,4.07,52.72,10.76,2023-09-27,6.6,33.3,346.8
109,Syrah,Barossa Valley,3.32,High,23.92,3.19,226.84,23.36,2023-08-28,10.6,37.8,728.9
110,Riesling,Bordeaux,2.56,High,13.08,4.18,233.99,18.65,2023-08-05,11.8,67.8,449.5
111,Zinfandel,Napa Valley,3.38,High,26.32,3.0,241.31,18.46,2023-08-16,11.8,69.1,632.2
112,Riesling,Napa Valley,2.53,High,14.49,3.08,122.61,17.5,2023-08-02,11.2,45.1,751.0
113,Zinfandel,Rioja,1.83,Medium,14.48,3.06,264.22,11.04,2023-08-06,9.6,66.9,444.8
114,Syrah,Loire Valley,2.3,Medium,20.74,4.05,77.42,11.35,2023-09-14,10.2,51.8,314.8
115,Riesling,Loire Valley,2.54,High,21.86,3.72,109.78,19.01,2023-08-20,7.7,40.8,510.3
116,Pinot Noir,Loire Valley,2.55,High,21.6,3.01,313.24,15.11,2023-09-09,9.8,58.1,744.9
117,Cabernet Sauvignon,Loire Valley,2.34,Medium,11.83,3.42,271.62,23.76,2023-09-05,8.7,56.4,682.6
118,Syrah,Mendoza,2.9,High,27.55,3.66,54.12,16.1,2023-09-23,8.9,69.6,239.5
119,Zinfandel,Mendoza,2.07,Medium,15.31,2.92,124.51,12.15,2023-08-18,10.5,40.6,615.5
120,Sauvignon Blanc,Barossa Valley,2.02,Medium,12.59,4.04,114.32,20.72,2023-09-13,7.7,56.9,543.1
121,Zinfandel,Sonoma,2.57,High,27.77,3.93,131.24,14.4,2023-08-16,7.9,32.1,744.5
122,Sauvignon Blanc,Bordeaux,3.59,Premium,29.11,3.51,124.27,17.88,2023-09-27,11.5,34.5,273.5
123,Chardonnay,Bordeaux,2.62,High,27.24,4.15,68.76,20.47,2023-09-24,6.3,30.2,520.4
124,Riesling,Loire Valley,3.22,High,26.19,3.38,187.68,23.5,2023-09-24,8.9,70.0,727.7
125,Sauvignon Blanc,Barossa Valley,3.32,High,23.1,4.18,269.82,21.88,2023-08-07,11.5,62.1,446.0
126,Zinfandel,Rioja,2.89,High,21.02,3.74,232.02,20.15,2023-09-22,9.7,61.5,489.2
127,Chardonnay,Tuscany,2.29,Medium,11.74,3.69,251.86,20.19,2023-09-16,9.3,50.4,242.3
128,Cabernet Sauvignon,Sonoma,2.42,Medium,18.17,3.03,74.34,24.19,2023-09-13,7.5,42.0,366.9
129,Pinot Noir,Barossa Valley,1.96,Medium,17.45,4.03,335.45,14.44,2023-09-17,8.1,36.1,394.7
130,Pinot Noir,Sonoma,2.14,Medium,15.2,3.4,301.55,10.02,2023-09-05,11.1,41.4,767.1
131,Pinot Noir,Sonoma,2.59,High,24.47,3.03,291.53,14.08,2023-08-02,9.4,45.0,369.6
132,Sauvignon Blanc,Sonoma,2.16,Medium,19.92,2.82,296.9,13.27,2023-09-02,9.1,60.3,476.5
133,Cabernet Sauvignon,Barossa Valley,1.84,Medium,11.62,3.58,329.81,19.93,2023-08-01,6.6,51.6,602.8
134,Sauvignon Blanc,Loire Valley,1.9,Medium,14.4,3.54,213.28,19.51,2023-08-08,6.1,33.1,297.3
135,Riesling,Bordeaux,3.3,High,23.67,3.81,110.08,18.9,2023-08-21,11.8,30.7,491.9
136,Sauvignon Blanc,Bordeaux,1.35,Low,11.52,4.05,235.04,10.24,2023-09-30,8.3,34.1,643.1
137,Cabernet Sauvignon,Loire Valley,3.2,High,27.02,2.91,272.86,20.93,2023-09-13,9.6,46.4,720.1
138,Cabernet Sauvignon,Sonoma,1.92,Medium,19.9,3.82,271.38,14.85,2023-09-17,6.5,67.3,575.8
139,Riesling,Tuscany,2.82,High,19.61,3.06,206.43,19.98,2023-09-27,10.1,55.5,601.4
140,Cabernet Sauvignon,Napa Valley,3.08,High,21.85,4.0,70.54,18.35,2023-08-30,11.6,62.1,275.8
141,Zinfandel,Barossa Valley,2.8,High,26.49,3.95,161.33,15.14,2023-09-17,9.5,48.7,767.5
142,Cabernet Sauvignon,Napa Valley,1.67,Medium,16.96,3.56,326.23,12.02,2023-09-26,6.8,44.5,279.5
143,Pinot Noir,Rioja,2.42,Medium,23.56,3.79,225.33,11.42,2023-08-20,9.5,34.3,664.8
144,Zinfandel,Loire Valley,3.18,High,21.31,3.24,211.5,22.47,2023-09-16,10.6,65.0,358.9
145,Zinfandel,Tuscany,2.51,High,15.34,3.46,130.66,23.78,2023-09-01,8.4,61.3,760.2
146,Riesling,Barossa Valley,3.48,High,27.57,3.95,160.53,19.75,2023-09-18,11.3,36.7,632.0
147,Merlot,Loire Valley,2.7,High,25.95,3.44,318.6,11.55,2023-08-20,9.9,50.5,652.3
148,Merlot,Sonoma,3.04,High,23.17,3.3,249.94,16.03,2023-08-01,11.4,49.5,331.4
149,Cabernet Sauvignon,Bordeaux,3.36,High,27.01,3.49,286.22,20.93,2023-08-03,9.7,55.0,465.8
150,Zinfandel,Napa Valley,2.84,High,27.35,3.96,186.3,21.7,2023-09-04,6.8,67.8,570.7
151,Merlot,Mendoza,2.23,Medium,24.17,3.27,239.07,11.77,2023-08-18,7.9,53.2,662.0
152,Merlot,Mendoza,2.09,Medium,26.74,3.04,124.52,10.0,2023-08-20,7.2,51.6,262.4
153,Cabernet Sauvignon,Tuscany,3.39,High,23.95,3.8,261.64,20.68,2023-08-17,11.5,32.0,777.4
154,Merlot,Sonoma,2.82,High,23.6,3.96,178.28,15.35,2023-08-11,10.6,32.5,734.1
155,Sauvignon Blanc,Rioja,2.54,High,22.37,2.94,182.76,13.82,2023-09-19,10.1,37.5,362.2
156,Chardonnay,Napa Valley,2.13,Medium,25.05,3.14,244.8,10.19,2023-09-07,7.8,31.3,693.7
157,Riesling,Sonoma,1.79,Medium,13.17,3.0,330.88,18.1,2023-08-21,7.1,59.7,511.0
158,Chardonnay,Napa Valley,3.55,Premium,27.62,3.29,69.2,22.77,2023-08-10,10.5,58.9,477.1
159,Cabernet Sauvignon,Tuscany,3.3,High,27.44,3.43,297.42,24.36,2023-09-11,8.8,35.4,388.7
160,Pinot Noir,Tuscany,1.75,Medium,10.58,3.85,137.71,18.49,2023-09-03,7.4,63.4,548.6
161,Riesling,Rioja,3.07,High,26.52,3.71,183.18,17.72,2023-08-20,9.7,36.2,637.9
162,Cabernet Sauvignon,Mendoza,1.23,Low,12.58,3.67,56.57,11.28,2023-09-22,6.2,42.0,446.6
163,Zinfandel,Sonoma,2.23,Medium,16.7,3.29,140.31,18.23,2023-08-30,8.0,40.0,577.5
164,Pinot Noir,Barossa Valley,2.62,High,24.87,3.98,200.79,15.7,2023-08-09,8.8,44.9,619.6
165,Chardonnay,Mendoza,1.94,Medium,13.22,3.46,66.85,19.11,2023-09-22,6.9,40.2,626.7
166,Cabernet Sauvignon,Sonoma,3.19,High,26.36,4.17,197.33,15.83,2023-09-18,11.9,49.6,231.2
167,Zinfandel,Mendoza,2.41,Medium,26.64,3.69,328.13,13.6,2023-09-04,7.3,46.3,715.8
168,Riesling,Barossa Valley,1.71,Medium,20.15,2.98,81.62,11.42,2023-08-29,6.8,69.5,475.0
169,Riesling,Bordeaux,1.46,Low,10.13,3.75,279.33,14.72,2023-08-18,7.2,32.2,357.4
170,Syrah,Bordeaux,2.15,Medium,15.74,3.26,172.9,11.45,2023-08-19,10.6,35.7,345.1
171,Zinfandel,Rioja,2.29,Medium,22.34,3.76,246.55,12.65,2023-09-18,8.6,32.1,489.8
172,Sauvignon Blanc,Bordeaux,3.39,High,29.62,2.9,128.07,24.81,2023-09-21,9.4,55.0,732.1
173,Merlot,Bordeaux,2.1,Medium,22.64,3.04,97.85,16.66,2023-08-22,6.1,32.2,427.0
174,Pinot Noir,Loire Valley,1.75,Medium,15.2,4.0,98.14,17.98,2023-09-01,6.2,63.5,649.8
175,Zinfandel,Napa Valley,2.92,High,22.68,3.12,71.15,23.1,2023-09-09,8.7,50.5,258.1
176,Syrah,Loire Valley,3.15,High,20.8,3.97,105.69,24.93,2023-09-29,10.9,51.1,485.6
177,Merlot,Loire Valley,3.32,High,25.6,3.19,249.27,18.74,2023-08-28,11.3,52.5,795.0
178,Merlot,Rioja,1.96,Medium,12.14,3.7,314.51,22.19,2023-09-13,6.5,36.8,662.3
179,Cabernet Sauvignon,Loire Valley,2.71,High,25.22,3.77,294.24,14.9,2023-09-04,9.2,37.9,326.3
180,Merlot,Bordeaux,2.87,High,20.83,3.52,255.54,14.59,2023-09-28,11.5,42.8,500.9
181,Sauvignon Blanc,Barossa Valley,2.87,High,29.26,3.23,83.13,16.04,2023-08-13,8.3,53.7,340.2
182,Riesling,Rioja,2.82,High,16.84,3.1,136.76,20.09,2023-09-02,11.0,38.4,445.7
183,Syrah,Rioja,2.41,Medium,22.65,2.85,142.94,20.23,2023-08-25,6.8,34.7,668.1
184,Merlot,Tuscany,3.3,High,28.64,3.23,124.99,14.73,2023-08-15,11.6,68.8,662.7
185,Cabernet Sauvignon,Rioja,1.95,Medium,12.05,3.71,204.5,12.0,2023-09-30,10.5,30.9,336.9
186,Sauvignon Blanc,Tuscany,3.54,Premium,28.74,4.11,210.67,19.49,2023-09-25,11.6,62.1,753.3
187,Chardonnay,Rioja,2.51,High,23.76,4.02,157.07,11.92,2023-08-23,10.1,61.5,555.5
188,Riesling,Napa Valley,1.93,Medium,11.36,3.87,156.14,18.68,2023-08-28,8.2,41.9,428.0
189,Riesling,Bordeaux,2.89,High,16.02,3.9,298.57,20.4,2023-08-08,11.6,35.4,501.2
190,Syrah,Rioja,2.78,High,24.16,3.73,286.79,20.51,2023-09-26,7.7,35.8,563.0
191,Riesling,Bordeaux,2.08,Medium,11.35,3.16,142.34,21.3,2023-08-27,8.0,57.9,535.9
192,Merlot,Bordeaux,3.06,High,21.64,4.07,324.14,23.09,2023-09-28,10.2,55.7,491.8
193,Cabernet Sauvignon,Mendoza,2.62,High,16.92,3.74,335.84,17.5,2023-09-03,10.6,61.3,503.0
194,Riesling,Rioja,3.39,High,22.42,3.58,148.02,20.95,2023-09-10,11.6,67.5,305.8
195,Riesling,Sonoma,1.74,Medium,10.91,2.96,156.33,19.29,2023-09-13,7.2,57.7,687.6
196,Chardonnay,Mendoza,3.01,High,27.43,3.43,201.69,12.8,2023-09-02,10.8,36.2,525.1
197,Chardonnay,Sonoma,2.91,High,29.47,3.44,332.34,10.39,2023-08-01,10.4,39.7,278.6
198,Pinot Noir,Bordeaux,2.39,Medium,29.38,4.01,312.9,14.27,2023-08-21,6.4,63.7,659.7
199,Sauvignon Blanc,Bordeaux,2.71,High,24.99,3.57,80.77,16.65,2023-09-11,8.3,38.4,759.5
200,Merlot,Mendoza,2.01,Medium,12.6,3.33,167.82,19.26,2023-09-14,7.7,32.9,768.4
201,Riesling,Mendoza,2.84,High,25.17,4.17,216.01,22.75,2023-08-02,7.8,58.1,421.4
202,Zinfandel,Sonoma,2.07,Medium,10.49,2.96,200.94,12.94,2023-08-11,11.9,46.1,281.3
203,Riesling,Tuscany,1.77,Medium,10.44,3.39,108.16,11.88,2023-08-02,9.9,66.8,511.0
204,Cabernet Sauvignon,Sonoma,2.74,High,16.47,2.86,307.65,24.45,2023-08-25,10.3,56.0,267.6
205,Pinot Noir,Mendoza,2.59,High,19.77,3.84,253.08,11.62,2023-09-03,11.9,33.6,760.4
206,Sauvignon Blanc,Barossa Valley,2.64,High,25.41,4.09,301.37,17.18,2023-09-29,8.3,67.9,310.1
207,Zinfandel,Mendoza,3.13,High,23.67,3.19,307.63,18.78,2023-09-15,10.8,40.3,351.7
208,Pinot Noir,Barossa Valley,2.38,Medium,18.92,4.0,274.51,18.12,2023-08-04,8.6,43.5,444.0
209,Syrah,Napa Valley,2.21,Medium,15.47,3.21,181.76,11.29,2023-09-19,11.2,46.1,429.9
210,Sauvignon Blanc,Mendoza,2.29,Medium,29.94,4.08,233.16,10.86,2023-09-06,7.1,32.0,676.8
211,Riesling,Napa Valley,2.48,Medium,18.52,3.86,98.11,11.58,2023-09-06,11.7,49.9,473.8
212,Riesling,Tuscany,2.24,Medium,19.03,3.93,252.09,18.78,2023-08-17,7.3,34.9,302.5
213,Sauvignon Blanc,Sonoma,1.91,Medium,13.27,2.83,103.78,18.17,2023-08-05,8.0,46.0,360.3
214,Riesling,Barossa Valley,2.78,High,25.9,4.15,258.18,13.51,2023-08-19,10.5,44.0,505.5
215,Merlot,Sonoma,2.79,High,23.87,3.82,118.88,19.57,2023-08-17,8.4,60.9,288.5
216,Sauvignon Blanc,Napa Valley,2.6,High,14.42,3.23,85.27,22.3,2023-08-09,9.6,62.1,567.0
217,Pinot Noir,Barossa Valley,1.48,Low,11.65,3.96,99.59,10.62,2023-08-14,8.7,36.1,539.4
218,Sauvignon Blanc,Sonoma,2.99,High,23.61,3.19,50.6,17.47,2023-09-07,10.5,44.7,628.8
219,Zinfandel,Mendoza,2.58,High,23.09,4.02,265.62,20.34,2023-09-09,7.4,44.9,762.6
220,Riesling,Bordeaux,1.51,Medium,15.47,2.96,269.72,13.78,2023-09-07,6.4,36.1,747.4
221,Merlot,Napa Valley,2.68,High,29.02,3.79,204.48,14.62,2023-09-27,7.8,61.9,767.6
222,Merlot,Sonoma,2.25,Medium,13.02,3.56,98.41,19.2,2023-09-05,8.8,58.3,346.8
223,Syrah,Napa Valley,2.35,Medium,18.65,2.94,75.07,23.47,2023-08-21,7.0,37.6,278.9
224,Pinot Noir,Loire Valley,3.19,High,28.87,3.14,55.74,22.15,2023-09-22,8.1,44.7,381.4
225,Chardonnay,Napa Valley,2.32,Medium,18.39,2.82,99.72,18.75,2023-08-21,8.4,34.2,737.1
226,Chardonnay,Barossa Valley,2.54,High,22.77,3.46,317.26,20.95,2023-08-14,6.3,55.1,783.2
227,Sauvignon Blanc,Loire Valley,2.36,Medium,17.95,3.22,122.46,15.47,2023-09-29,9.5,34.9,715.6
228,Syrah,Rioja,2.82,High,15.48,3.64,156.28,19.61,2023-09-03,11.3,69.4,266.0
229,Cabernet Sauvignon,Barossa Valley,2.73,High,29.68,3.22,81.6,16.99,2023-08-25,6.9,61.2,768.5
230,Sauvignon Blanc,Bordeaux,2.21,Medium,18.19,3.22,116.71,12.85,2023-08-23,9.6,45.6,454.0
231,Syrah,Loire Valley,3.36,High,27.88,3.84,205.77,20.53,2023-09-05,10.0,53.1,205.6
232,Pinot Noir,Rioja,2.09,Medium,14.6,2.87,232.33,18.35,2023-09-07,8.5,66.5,465.4
233,Pinot Noir,Mendoza,2.17,Medium,14.26,4.06,123.61,15.38,2023-09-06,10.2,52.2,227.6
234,Pinot Noir,Napa Valley,2.13,Medium,10.62,3.99,67.32,23.67,2023-08-16,8.5,37.0,526.3
235,Pinot Noir,Sonoma,2.24,Medium,23.03,3.73,167.31,10.31,2023-08-07,9.0,45.1,403.1
236,Pinot Noir,Tuscany,1.73,Medium,17.37,3.63,120.26,14.74,2023-09-24,6.0,63.7,484.1
237,Syrah,Napa Valley,2.66,High,27.29,4.05,115.87,10.85,2023-08-11,10.2,55.8,567.9
238,Syrah,Rioja,2.89,High,19.46,3.06,337.96,21.5,2023-09-13,10.0,56.0,721.3
